Date,Open,High,Low,Close,Adj Close,Volume
2020-02-10,35.000000,35.139999,32.810001,32.889999,32.889999,5022400
2020-02-11,33.119999,34.639999,32.400002,34.599998,34.599998,3599400
2020-02-12,34.900002,34.980000,33.509998,33.740002,33.740002,3116400
2020-02-13,33.000000,34.189999,32.849998,33.880001,33.880001,2239700
2020-02-14,33.900002,34.139999,33.090000,33.099998,33.099998,1606700
2020-02-17,33.320000,33.529999,32.900002,33.340000,33.340000,2171400
2020-02-18,33.000000,33.180000,32.490002,32.509998,32.509998,3126600
2020-02-19,32.630001,32.970001,32.180000,32.599998,32.599998,2629000
2020-02-20,32.650002,32.860001,32.029999,32.070000,32.070000,2264000
2020-02-21,31.700001,31.959999,30.700001,30.879999,30.879999,3615900
2020-02-26,null,null,null,null,null,null
2020-02-27,26.430000,27.520000,26.000000,26.209999,26.209999,5751300
2020-02-28,25.879999,26.500000,25.000000,25.730000,25.730000,5867900
2020-03-02,23.549999,23.870001,21.799999,23.000000,23.000000,16546000
2020-03-03,22.629999,24.440001,22.450001,22.510000,22.510000,13494200
2020-03-04,23.200001,23.250000,21.320000,22.180000,22.180000,8010200
2020-03-05,21.900000,21.900000,19.580000,20.000000,20.000000,7427200
2020-03-06,20.000000,24.610001,19.700001,22.879999,22.879999,22115700
2020-03-09,20.400000,21.290001,19.469999,19.500000,19.500000,6836000
2020-03-10,21.719999,22.549999,20.430000,21.760000,21.760000,6305600
2020-03-11,20.600000,21.790001,18.100000,19.240000,19.240000,7596500
2020-03-12,15.000000,15.000000,12.160000,13.640000,13.640000,6362700
2020-03-13,15.950000,15.990000,12.970000,15.350000,15.350000,11404500
2020-03-16,12.270000,12.540000,10.320000,10.400000,10.400000,9539200
2020-03-17,10.900000,10.900000,9.360000,9.950000,9.950000,11392900
2020-03-18,9.050000,9.100000,6.220000,6.490000,6.490000,9575000
2020-03-19,6.050000,8.000000,5.180000,7.450000,7.450000,7479500
2020-03-20,8.550000,9.350000,7.710000,8.210000,8.210000,13602500
2020-03-23,7.950000,8.090000,7.210000,7.610000,7.610000,8955200
2020-03-24,8.740000,9.300000,8.400000,8.750000,8.750000,7391500
2020-03-25,8.830000,9.920000,8.800000,9.350000,9.350000,10354500
2020-03-26,9.350000,12.380000,9.350000,12.380000,12.380000,13925100
2020-03-27,11.690000,13.700000,11.200000,12.840000,12.840000,12501200
2020-03-30,13.210000,14.150000,12.550000,12.950000,12.950000,9462900
2020-03-31,12.500000,12.720000,11.000000,11.100000,11.100000,9063400
2020-04-01,9.900000,10.090000,9.240000,9.400000,9.400000,7839400
2020-04-02,9.600000,10.500000,9.330000,10.250000,10.250000,9096900
2020-04-03,10.500000,10.500000,9.010000,9.900000,9.900000,4327400
2020-04-06,11.000000,11.070000,10.030000,10.330000,10.330000,4738100
2020-04-07,11.100000,11.900000,10.870000,11.600000,11.600000,6257200
2020-04-08,11.400000,12.000000,11.010000,11.750000,11.750000,7536800
2020-04-09,12.050000,12.980000,12.050000,12.950000,12.950000,7348600
2020-04-13,12.610000,13.380000,12.410000,13.100000,13.100000,4391200
2020-04-14,13.450000,14.660000,13.410000,14.280000,14.280000,6108800
2020-04-15,13.700000,15.060000,13.430000,14.500000,14.500000,6958300
2020-04-16,14.750000,15.270000,14.050000,14.600000,14.600000,4608200
2020-04-17,15.100000,15.190000,14.580000,14.670000,14.670000,3248400
2020-04-20,14.300000,14.800000,14.100000,14.560000,14.560000,3107900
2020-04-22,14.450000,15.050000,14.310000,14.850000,14.850000,3368700
2020-04-23,15.050000,15.480000,13.750000,13.920000,13.920000,6647700
2020-04-24,13.600000,13.600000,11.580000,11.990000,11.990000,6947700
2020-04-27,12.330000,12.800000,11.950000,12.360000,12.360000,5045500
2020-04-28,12.700000,14.390000,12.420000,14.150000,14.150000,7082600
2020-04-29,14.500000,14.840000,13.740000,14.190000,14.190000,4821900
2020-04-30,13.870000,14.550000,13.640000,13.800000,13.800000,6356900
2020-05-04,12.970000,13.340000,12.550000,12.910000,12.910000,3050200
2020-05-05,13.240000,13.530000,12.390000,12.390000,12.390000,2241700
2020-05-06,12.350000,12.350000,11.650000,11.660000,11.660000,4181000
2020-05-07,11.810000,12.040000,10.660000,10.900000,10.900000,6755000
2020-05-08,11.200000,11.890000,10.960000,11.890000,11.890000,4451000
2020-05-11,11.600000,11.640000,10.770000,11.160000,11.160000,4566200
2020-05-12,11.220000,11.980000,10.670000,10.750000,10.750000,4262000
2020-05-13,10.910000,11.180000,10.190000,10.720000,10.720000,3673700
2020-05-14,10.420000,10.740000,9.980000,10.610000,10.610000,3735500
2020-05-15,10.510000,10.960000,10.290000,10.550000,10.550000,3031300
2020-05-18,11.000000,12.730000,10.910000,12.580000,12.580000,8199300
2020-05-19,12.570000,13.360000,11.830000,12.380000,12.380000,6982600
2020-05-20,12.720000,14.000000,12.480000,13.230000,13.230000,8663600
2020-05-21,13.270000,13.950000,12.860000,12.930000,12.930000,7474600
2020-05-22,12.690000,12.690000,12.220000,12.470000,12.470000,3354500
2020-05-25,13.000000,14.100000,13.000000,14.100000,14.100000,7784200
2020-05-26,14.450000,14.650000,13.320000,13.500000,13.500000,8026300
2020-05-27,13.740000,15.500000,13.740000,15.250000,15.250000,11379200
2020-05-28,15.200000,15.620000,14.570000,14.740000,14.740000,6550500
2020-05-29,14.750000,14.830000,14.150000,14.400000,14.400000,4249500
2020-06-01,14.160000,15.500000,14.110000,15.500000,15.500000,6736200
2020-06-02,16.209999,18.620001,16.180000,18.600000,18.600000,14659600
2020-06-03,19.450001,21.580000,19.450001,19.820000,19.820000,18661900
2020-06-04,19.700001,20.680000,18.719999,19.799999,19.799999,8499700
2020-06-05,21.000000,22.000000,20.549999,20.910000,20.910000,11045700
2020-06-08,22.000000,23.080000,21.700001,23.040001,23.040001,9390900
2020-06-09,22.110001,24.500000,21.250000,24.049999,24.049999,12585800
2020-06-10,25.000000,25.299999,22.500000,22.980000,22.980000,9811600
2020-06-12,21.500000,22.370001,20.400000,20.809999,20.809999,10073900
2020-06-15,19.700001,20.740000,18.459999,20.450001,20.450001,9531600
2020-06-16,21.950001,22.469999,19.459999,19.770000,19.770000,8750000
2020-06-17,20.200001,20.309999,19.100000,19.469999,19.469999,6638700
2020-06-18,19.180000,20.280001,18.799999,19.200001,19.200001,5401500
2020-06-19,20.200001,20.500000,19.559999,19.840000,19.840000,6809800
2020-06-22,20.010000,20.389999,19.600000,19.600000,19.600000,4219100
2020-06-23,20.090000,20.180000,18.850000,19.660000,19.660000,5961400
2020-06-24,19.270000,19.790001,18.320000,18.760000,18.760000,4790100
2020-06-25,18.750000,19.450001,17.969999,18.280001,18.280001,6466800
2020-06-26,18.219999,18.600000,17.430000,17.700001,17.700001,3947300
2020-06-29,18.049999,18.280001,17.010000,18.200001,18.200001,5053900
2020-06-30,18.139999,18.790001,17.799999,18.139999,18.139999,4210500
2020-07-01,18.450001,19.500000,18.049999,19.090000,19.090000,5231200
2020-07-02,18.818399,18.818399,17.839800,18.140900,18.140900,3544192
2020-07-03,18.131500,18.573799,17.670500,18.545500,18.545500,2997280
2020-07-06,18.921900,20.606100,18.837200,20.502600,20.502600,8984082
2020-07-07,20.295601,20.295601,19.081900,19.081900,19.081900,10518432
2020-07-08,19.241800,19.288900,17.566999,17.924500,17.924500,12311678
2020-07-09,17.774000,18.188000,17.265900,18.159700,18.159700,5673173
2020-07-10,18.159700,20.700199,17.981001,20.700199,20.700199,21698664
2020-07-13,20.944901,22.469200,20.944901,21.189501,21.189501,14745361
2020-07-14,21.754101,22.092800,20.775499,21.358900,21.358900,8871426
2020-07-15,21.090000,22.299999,20.700001,21.700001,21.700001,11961500
2020-07-16,21.450001,22.570000,20.950001,22.200001,22.200001,9845000
2020-07-17,22.330000,22.690001,21.500000,21.799999,21.799999,8235100
